order_month,customer_state,product_category_name,payment_type,cuboid_level,support_count,order_count,total_sales,avg_review_score,avg_delivery_days
2018-03,MG,ALL,ALL,2,1035,876,146474.88,3.5681159420289856,12.268599033816425
ALL,ALL,ferramentas_jardim,boleto,2,1032,814,120345.0,4.118217054263566,9.599806201550388
ALL,ALL,relogios_presentes,boleto,2,1027,922,165094.46,3.9581304771178187,8.671859785783836
2018-01,MG,ALL,ALL,2,1023,860,138303.45,4.070381231671554,8.521016617790812
ALL,ALL,telefonia,boleto,2,1023,945,76588.28,3.8944281524926687,9.346041055718475
2018-04,RJ,ALL,ALL,2,1021,834,152685.13,3.9265426052889323,10.547502448579824
2018-02,ALL,informatica_acessorios,ALL,2,1020,801,122210.38,3.4784313725490197,12.650980392156862
ALL,MG,moveis_decoracao,ALL,2,1015,727,106578.81,4.058128078817734,8.183251231527093
2018-05,RJ,ALL,ALL,2,1011,830,150423.97000000003,3.9713155291790305,10.170128585558853
ALL,MG,esporte_lazer,ALL,2,1009,867,137916.56,4.157581764122894,8.272547076313181
ALL,SC,ALL,boleto,2,1000,835,114090.11,4.065,10.821
2017-07,ALL,ALL,boleto,2,981,833,116604.95999999999,4.114169215086647,8.031600407747197
ALL,RJ,ALL,voucher,2,977,535,122286.6,3.938587512794268,11.841351074718526
ALL,SP,pet_shop,ALL,2,945,771,109365.15,4.301587301587301,4.935449735449735
2018-02,MG,ALL,ALL,2,940,800,131235.21,3.970212765957447,11.51063829787234
ALL,RJ,utilidades_domesticas,ALL,2,934,746,102893.69,3.828693790149893,10.168094218415417
2018-01,ALL,cama_mesa_banho,ALL,2,920,699,97028.42,3.8065217391304347,9.43804347826087
2018-05,MG,ALL,ALL,2,919,759,125365.59,4.064200217627857,9.219804134929271
2018-04,MG,ALL,ALL,2,907,786,132522.65,4.131201764057332,7.81367144432194
ALL,SP,fashion_bolsas_e_acessorios,ALL,2,905,780,70008.73,4.2066298342541435,4.52596685082873
2018-06,ALL,beleza_saude,ALL,2,903,799,127620.28000000001,4.365448504983389,6.487264673311185
2017-12,RJ,ALL,ALL,2,898,779,139836.36,3.3674832962138086,17.037861915367483
ALL,ALL,malas_acessorios,credit_card,2,890,836,142144.54,4.2910112359550565,8.243820224719101
ALL,RJ,relogios_presentes,ALL,2,888,817,202918.97,3.7578828828828827,11.213963963963964
ALL,MG,utilidades_domesticas,ALL,2,885,702,100593.34,4.0655367231638415,7.6440677966101696
2018-08,ALL,beleza_saude,ALL,2,878,778,140427.39,4.340546697038724,4.882687927107061
2017-05,ALL,ALL,boleto,2,875,761,127217.32,4.150857142857143,7.972571428571428
ALL,ALL,consoles_games,credit_card,2,870,806,144313.37,4.036781609195402,9.145977011494253
2018-07,RJ,ALL,ALL,2,868,715,127835.6,4.169354838709677,6.252304147465438
ALL,SP,ALL,debit_card,2,864,754,86079.29000000001,4.2719907407407405,4.498842592592593
ALL,ALL,cama_mesa_banho,voucher,2,859,414,82002.89000000001,3.827706635622817,8.91501746216531
2018-06,RJ,ALL,ALL,2,855,716,128796.43000000001,4.127485380116959,7.535672514619883
2018-06,MG,ALL,ALL,2,852,717,129769.37,4.210093896713615,5.491784037558685
2018-03,ALL,cama_mesa_banho,ALL,2,844,670,88897.54000000001,3.6291469194312795,12.736966824644549
ALL,ALL,automotivo,boleto,2,843,783,112868.43,4.147093712930012,9.794780545670225
2018-08,RJ,ALL,ALL,2,842,742,116969.26999999999,4.15083135391924,5.496437054631829
2017-11,ALL,moveis_decoracao,ALL,2,833,547,82190.95,3.638655462184874,10.079231692677071
2018-06,ALL,cama_mesa_banho,ALL,2,826,657,92843.4,3.953995157384988,6.305084745762712
